TradingDate,CallPut,StrikePrice,Quantity
2021-06-16,P,770,1
2021-06-16,C,780,41
2021-06-16,P,780,1
2021-06-16,C,790,111
2021-06-16,P,790,0
2021-06-16,C,800,142
2021-06-16,P,800,2
2021-06-16,C,810,11
2021-06-16,P,810,0
2021-06-16,C,820,16
2021-06-16,P,820,0
2021-06-16,C,830,2
2021-06-16,P,830,0
2021-06-16,C,840,8
2021-06-16,P,840,0
2021-06-16,C,850,77
2021-06-16,P,850,0
2021-06-16,C,860,2
2021-06-16,P,860,0
2021-06-16,C,870,10
2021-06-16,P,870,0
2021-06-16,C,880,21
2021-06-16,P,880,0
2021-06-16,C,890,7
2021-06-16,P,890,0
2021-06-16,C,900,35
2021-06-16,P,900,0
2021-06-16,C,910,137
2021-06-16,P,910,0
2021-06-16,C,920,192
2021-06-16,P,920,0
2021-06-16,C,930,256
2021-06-16,P,930,0
2021-06-16,C,940,321
2021-06-16,P,940,0
2021-06-16,C,950,75
2021-06-16,P,950,0
2021-06-16,C,960,211
2021-06-16,P,960,0
2021-06-16,C,970,273
2021-06-16,P,970,0
2021-06-16,C,980,57
2021-06-16,P,980,0
2021-06-16,C,990,153
2021-06-16,P,990,0
2021-06-16,C,1000,61
2021-06-16,P,1000,0
2021-06-16,C,1025,1
2021-06-16,P,1025,0
2021-06-16,C,1050,3
2021-06-16,P,1050,0
2021-06-16,C,1075,0
2021-06-16,P,1075,0
2021-06-16,C,1100,5
2021-06-16,P,1100,0
2021-06-16,C,1125,1
2021-06-16,P,1125,0
2021-06-16,C,1150,8
2021-06-16,P,1150,0
2021-06-16,C,1175,0
2021-06-16,P,1175,0
2021-06-16,C,1200,10
2021-06-16,P,1200,0
2021-06-16,C,1225,130
2021-06-16,P,1225,1
2021-06-17,C,50,0
2021-06-17,P,50,0
2021-06-17,C,100,0
2021-06-17,P,100,7
2021-06-17,C,150,0
2021-06-17,P,150,3
2021-06-17,C,200,0
2021-06-17,P,200,28
2021-06-17,C,250,2
2021-06-17,P,250,365
2021-06-17,C,300,0
2021-06-17,P,300,63
2021-06-17,C,310,0
2021-06-17,P,310,129
2021-06-17,C,320,0
2021-06-17,P,320,4
2021-06-17,C,330,0
2021-06-17,P,330,2
2021-06-17,C,340,0
2021-06-17,P,340,36
2021-06-17,C,350,0
2021-06-17,P,350,46
2021-06-17,C,360,0
2021-06-17,P,360,4
2021-06-17,C,370,0
2021-06-17,P,370,4
2021-06-17,C,380,0
2021-06-17,P,380,30
2021-06-17,C,390,0
2021-06-17,P,390,16
2021-06-17,C,400,2
2021-06-17,P,400,29
2021-06-17,C,410,0
2021-06-17,P,410,31
